city,year,weekofyear,total_cases
iq,2011,14,24
iq,2011,15,24
iq,2011,16,20
iq,2011,17,26
iq,2011,18,24
iq,2011,19,24
iq,2011,20,21
iq,2011,21,26
iq,2011,22,26
iq,2011,23,22
iq,2011,24,27
iq,2011,25,22
iq,2011,26,23
iq,2011,27,22
iq,2011,28,22
iq,2011,29,27
iq,2011,30,24
iq,2011,31,25
iq,2011,32,28
iq,2011,33,25
iq,2011,34,25
iq,2011,35,24
iq,2011,36,24
iq,2011,37,27
iq,2011,38,28
iq,2011,39,30
iq,2011,40,24
iq,2011,41,27
iq,2011,42,25
iq,2011,43,27
iq,2011,44,25
iq,2011,45,26
iq,2011,46,28
iq,2011,47,26
iq,2011,48,26
iq,2011,49,27
iq,2011,50,27
iq,2011,51,25
iq,2012,52,26
iq,2012,1,17
iq,2012,2,16
iq,2012,3,17
iq,2012,4,19
iq,2012,5,16
iq,2012,6,18
iq,2012,7,18
iq,2012,8,17
iq,2012,9,20
iq,2012,10,20
iq,2012,11,18
iq,2012,12,19
iq,2012,13,24
iq,2012,14,19
iq,2012,15,24
iq,2012,16,25
iq,2012,17,27
iq,2012,18,25
iq,2012,19,23
iq,2012,20,24
iq,2012,21,22
iq,2012,22,25
iq,2012,23,26
iq,2012,24,26
iq,2012,25,26
iq,2012,26,29
iq,2012,27,25
iq,2012,28,25
iq,2012,29,33
iq,2012,30,25
iq,2012,31,26
iq,2012,32,27
iq,2012,33,26
iq,2012,34,33
iq,2012,35,26
iq,2012,36,26
iq,2012,37,26
iq,2012,38,23
iq,2012,39,24
iq,2012,40,26
iq,2012,41,26
iq,2012,42,25
iq,2012,43,25
iq,2012,44,24
iq,2012,45,24
iq,2012,46,27
iq,2012,47,27
iq,2012,48,28
iq,2012,49,24
iq,2012,50,28
iq,2012,51,26
iq,2013,1,16
iq,2013,2,19
iq,2013,3,18
iq,2013,4,15
iq,2013,5,18
iq,2013,6,15
iq,2013,7,17
iq,2013,8,17
iq,2013,9,19
iq,2013,10,19
iq,2013,11,21
iq,2013,12,23
iq,2013,13,21
iq,2013,14,25
iq,2013,15,24
iq,2013,16,25
iq,2013,17,25
iq,2013,18,24
iq,2013,19,25
iq,2013,20,24
iq,2013,21,25
iq,2013,22,26
iq,2013,23,26
iq,2013,24,21
iq,2013,25,22
iq,2013,26,26
