city,year,weekofyear,total_cases
iq,2010,33,5
iq,2010,34,6
iq,2010,35,9
iq,2010,36,6
iq,2010,37,7
iq,2010,38,10
iq,2010,39,11
iq,2010,40,40
iq,2010,41,9
iq,2010,42,13
iq,2010,43,7
iq,2010,44,20
iq,2010,45,17
iq,2010,46,12
iq,2010,47,9
iq,2010,48,16
iq,2010,49,7
iq,2010,50,9
iq,2010,51,10
iq,2011,52,8
iq,2011,1,19
iq,2011,2,13
iq,2011,3,15
iq,2011,4,15
iq,2011,5,15
iq,2011,6,17
iq,2011,7,14
iq,2011,8,18
iq,2011,9,13
iq,2011,10,10
iq,2011,11,13
iq,2011,12,11
iq,2011,13,7
iq,2011,14,7
iq,2011,15,7
iq,2011,16,6
iq,2011,17,9
iq,2011,18,7
iq,2011,19,5
iq,2011,20,6
iq,2011,21,7
iq,2011,22,4
iq,2011,23,6
iq,2011,24,8
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,5
iq,2011,30,4
iq,2011,31,5
iq,2011,32,8
iq,2011,33,5
iq,2011,34,4
iq,2011,35,4
iq,2011,36,3
iq,2011,37,7
iq,2011,38,11
iq,2011,39,11
iq,2011,40,6
iq,2011,41,8
iq,2011,42,11
iq,2011,43,14
iq,2011,44,11
iq,2011,45,14
iq,2011,46,9
iq,2011,47,8
iq,2011,48,7
iq,2011,49,7
iq,2011,50,20
iq,2011,51,18
iq,2012,52,8
iq,2012,1,16
iq,2012,2,16
iq,2012,3,16
iq,2012,4,16
iq,2012,5,16
iq,2012,6,14
iq,2012,7,17
iq,2012,8,16
iq,2012,9,16
iq,2012,10,12
iq,2012,11,10
iq,2012,12,10
iq,2012,13,8
iq,2012,14,7
iq,2012,15,10
iq,2012,16,8
iq,2012,17,9
iq,2012,18,7
iq,2012,19,4
iq,2012,20,7
iq,2012,21,3
iq,2012,22,5
iq,2012,23,4
iq,2012,24,4
iq,2012,25,4
iq,2012,26,6
iq,2012,27,3
iq,2012,28,4
iq,2012,29,8
iq,2012,30,5
iq,2012,31,3
iq,2012,32,4
iq,2012,33,7
iq,2012,34,14
iq,2012,35,4
iq,2012,36,6
iq,2012,37,5
iq,2012,38,8
iq,2012,39,8
iq,2012,40,6
iq,2012,41,9
iq,2012,42,7
iq,2012,43,9
iq,2012,44,10
iq,2012,45,11
iq,2012,46,10
iq,2012,47,10
iq,2012,48,9
iq,2012,49,8
iq,2012,50,9
iq,2012,51,7
iq,2013,1,15
iq,2013,2,16
iq,2013,3,16
iq,2013,4,16
iq,2013,5,15
iq,2013,6,14
iq,2013,7,15
iq,2013,8,13
iq,2013,9,14
iq,2013,10,12
iq,2013,11,11
iq,2013,12,12
iq,2013,13,8
iq,2013,14,8
iq,2013,15,6
iq,2013,16,7
iq,2013,17,8
iq,2013,18,6
iq,2013,19,8
iq,2013,20,8
iq,2013,21,6
iq,2013,22,9
iq,2013,23,6
iq,2013,24,3
iq,2013,25,4
iq,2013,26,4
