city,year,weekofyear,total_cases
iq,2010,33,5
iq,2010,34,6
iq,2010,35,11
iq,2010,36,5
iq,2010,37,8
iq,2010,38,9
iq,2010,39,11
iq,2010,40,35
iq,2010,41,9
iq,2010,42,12
iq,2010,43,7
iq,2010,44,12
iq,2010,45,17
iq,2010,46,16
iq,2010,47,9
iq,2010,48,16
iq,2010,49,9
iq,2010,50,11
iq,2010,51,14
iq,2011,52,9
iq,2011,1,18
iq,2011,2,13
iq,2011,3,13
iq,2011,4,13
iq,2011,5,14
iq,2011,6,17
iq,2011,7,15
iq,2011,8,16
iq,2011,9,12
iq,2011,10,9
iq,2011,11,12
iq,2011,12,9
iq,2011,13,7
iq,2011,14,8
iq,2011,15,6
iq,2011,16,5
iq,2011,17,8
iq,2011,18,7
iq,2011,19,5
iq,2011,20,4
iq,2011,21,6
iq,2011,22,4
iq,2011,23,5
iq,2011,24,9
iq,2011,25,3
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,6
iq,2011,30,3
iq,2011,31,4
iq,2011,32,8
iq,2011,33,5
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,7
iq,2011,38,12
iq,2011,39,12
iq,2011,40,7
iq,2011,41,8
iq,2011,42,8
iq,2011,43,16
iq,2011,44,10
iq,2011,45,14
iq,2011,46,12
iq,2011,47,10
iq,2011,48,8
iq,2011,49,8
iq,2011,50,23
iq,2011,51,20
iq,2012,52,8
iq,2012,1,15
iq,2012,2,16
iq,2012,3,15
iq,2012,4,14
iq,2012,5,13
iq,2012,6,14
iq,2012,7,15
iq,2012,8,15
iq,2012,9,14
iq,2012,10,11
iq,2012,11,9
iq,2012,12,9
iq,2012,13,7
iq,2012,14,7
iq,2012,15,9
iq,2012,16,7
iq,2012,17,8
iq,2012,18,7
iq,2012,19,3
iq,2012,20,7
iq,2012,21,3
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,5
iq,2012,26,6
iq,2012,27,3
iq,2012,28,5
iq,2012,29,9
iq,2012,30,5
iq,2012,31,3
iq,2012,32,4
iq,2012,33,8
iq,2012,34,15
iq,2012,35,4
iq,2012,36,6
iq,2012,37,6
iq,2012,38,10
iq,2012,39,8
iq,2012,40,7
iq,2012,41,8
iq,2012,42,7
iq,2012,43,8
iq,2012,44,11
iq,2012,45,11
iq,2012,46,11
iq,2012,47,12
iq,2012,48,10
iq,2012,49,10
iq,2012,50,10
iq,2012,51,7
iq,2013,1,14
iq,2013,2,15
iq,2013,3,14
iq,2013,4,15
iq,2013,5,14
iq,2013,6,15
iq,2013,7,16
iq,2013,8,13
iq,2013,9,13
iq,2013,10,11
iq,2013,11,11
iq,2013,12,12
iq,2013,13,8
iq,2013,14,8
iq,2013,15,6
iq,2013,16,7
iq,2013,17,8
iq,2013,18,6
iq,2013,19,8
iq,2013,20,7
iq,2013,21,6
iq,2013,22,8
iq,2013,23,7
iq,2013,24,3
iq,2013,25,4
iq,2013,26,4
